price,year,mileage,location,tax,seller_type,model
"Rp17,000,000",2017,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,500,000",2023,"2,500 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp20,800,000",2023,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp17,100,000",2019,"30,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp20,000,000",2021,"15,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp19,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp20,000,000",2021,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp20,000,000",2021,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,200,000",2021,"30,000 km",Kebonagung,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp21,500,000",2020,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp23,400,000",2023,"7,500 km",Kota Jakarta Timur,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,700,000",2022,"7,500 km",Kertajaya,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp17,100,000",2017,"30,000 km",Kertajaya,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp22,300,000",2021,"15,000 km",Kertajaya,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp14,700,000",2016,"30,000 km",Bubutan,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp18,600,000",2017,"30,000 km",Banjarbendo,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,700,000",2022,"15,000 km",Banjarbendo,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp19,900,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp19,900,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,500,000",2020,"15,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp17,100,000",2017,"30,000 km",Banjarbendo,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp21,500,000",2019,"30,000 km",Sumokali,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,400,000",2022,"15,000 km",Kota Tangerang,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp18,900,000",2018,"7,500 km",Kota Tangerang,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp19,900,000",2019,"30,000 km",Sumokali,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp22,300,000",2021,"15,000 km",Suko Manunggal,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,300,000",2021,"15,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,600,000",2022,"15,000 km",Puji Mulyo,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp16,000,000",2016,"30,000 km",Puji Mulyo,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,100,000",2022,"15,000 km",Puji Mulyo,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp17,100,000",2016,"30,000 km",Puji Mulyo,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp20,000,000",2019,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,300,000",2021,"30,000 km",Kampung Tengah,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,100,000",2024,"7,500 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp23,100,000",2021,"15,000 km",Kota Tangerang,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp17,000,000",2016,"7,500 km",Karah,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp19,900,000",2019,"30,000 km",Gayungan,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp20,200,000",2020,"15,000 km",Gayungan,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp20,500,000",2022,"7,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp15,900,000",2017,"30,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp20,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,800,000",2022,"15,000 km",Kota Denpasar,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp19,500,000",2020,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp18,500,000",2018,"30,000 km",Ngrowo,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp21,500,000",2019,"15,000 km",Ngrowo,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp17,000,000",2016,"30,000 km",Ngrowo,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,300,000",2021,"30,000 km",Ngrowo,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,900,000",2022,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp23,800,000",2022,"7,500 km",Kertajaya,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp16,800,000",2017,"30,000 km",Denai,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp16,000,000",2016,"30,000 km",Denai,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp16,800,000",2017,"30,000 km",Denai,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp18,100,000",2018,"30,000 km",Denai,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp23,100,000",2023,"7,500 km",Percut,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp13,800,000",2016,"30,000 km",Gaharu,hidup,dealer,HONDA NEW VARIO TECHNO
"Rp20,900,000",2022,"15,000 km",Kota Bogor,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp21,500,000",2020,"30,000 km",Kab. Bekasi,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp18,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp19,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp19,600,000",2018,"30,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp20,600,000",2021,"15,000 km",Telaga Sari,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp20,100,000",2020,"30,000 km",Telaga Sari,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,100,000",2024,500 km,Kota Tangerang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,600,000",2022,"15,000 km",Telaga Sari,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,100,000",2023,"7,500 km",Telaga Sari,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp18,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp20,000,000",2019,"30,000 km",Kota Tangerang Selatan,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,400,000",2023,"7,500 km",Kota Tangerang,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,100,000",2024,"7,500 km",Kota Tangerang Selatan,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp19,000,000",2019,"15,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,500,000",2022,"15,000 km",Kab. Bandung,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,500,000",2021,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp21,900,000",2020,"30,000 km",Kota Malang,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,950,000",2024,500 km,Kota Depok,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp23,300,000",2023,"30,000 km",Kota Depok,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp16,400,000",2018,"30,000 km",Kota Depok,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp24,800,000",2022,"15,000 km",Kota Tangerang,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp16,500,000",2016,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,400,000",2022,"15,000 km",Kota Tangerang,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,700,000",2023,"2,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp25,200,000",2022,"30,000 km",Kota Denpasar,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp19,800,000",2018,"30,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp15,900,000",2016,"30,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp21,000,000",2022,"15,000 km",Kota Tangerang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp23,100,000",2021,"30,000 km",Kota Tangerang,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp18,600,000",2017,"30,000 km",Karah,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp17,000,000",2017,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp16,500,000",2018,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp20,100,000",2019,"30,000 km",Kota Cilegon,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp23,100,000",2023,"7,500 km",Gaharu,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,100,000",2022,"30,000 km",Puji Mulyo,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp17,000,000",2016,"30,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp19,800,000",2018,"15,000 km",,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp21,900,000",2023,NaN km,Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,900,000",2023,500 km,Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,400,000",2023,"7,500 km",Kota Bogor,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp24,800,000",2022,"15,000 km",Kota Jakarta Barat,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp23,400,000",2023,"15,000 km",Kota Jakarta Barat,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,800,000",2022,"7,500 km",Kab. Bandung,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,800,000",2022,"15,000 km",Kab. Bandung,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,500,000",2021,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp21,700,000",2023,"2,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,300,000",2021,"15,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp19,600,000",2018,"15,000 km",Bubutan,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp23,100,000",2021,"15,000 km",Kota Bogor,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,100,000",2022,"15,000 km",Kota Medan,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,600,000",2022,"15,000 km",Kota Medan,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,100,000",2021,"15,000 km",Kota Medan,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,000,000",2022,"15,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp19,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,800,000",2022,"15,000 km",Kab. Bandung,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,500,000",2021,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp21,700,000",2023,"2,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,800,000",2023,"2,500 km",Kota Tangerang Selatan,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp17,000,000",2018,"30,000 km",Kota Tangerang Selatan,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp23,100,000",2021,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp20,000,000",2021,"15,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp20,300,000",2021,"7,500 km",Kota Bandung,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp24,000,000",2022,"2,500 km",Kota Bandung,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp16,500,000",2016,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp16,500,000",2016,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp17,000,000",2017,"30,000 km",Kota Bandung,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,700,000",2023,"2,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,400,000",2021,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp19,800,000",2019,"30,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp20,000,000",2019,"30,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp21,500,000",2023,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp21,500,000",2023,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp21,500,000",2023,"15,000 km",Kab. Serang,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp22,500,000",2021,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp19,800,000",2019,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,400,000",2023,"7,500 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125ESP CBS ISS
"Rp21,500,000",2020,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp16,300,000",2016,"30,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp25,800,000",2023,"7,500 km",Kota Jakarta Timur,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp16,600,000",2018,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp18,900,000",2018,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp16,600,000",2018,"30,000 km",Kota Cilegon,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp17,700,000",2019,"30,000 km",Kota Cilegon,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,400,000",2023,"15,000 km",Kab. Serang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,700,000",2023,"2,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,100,000",2018,"15,000 km",Kab. Magelang,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,900,000",2023,"2,500 km",Kab. Magelang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp20,900,000",2022,"30,000 km",Kab. Serang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp20,900,000",2022,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp22,100,000",2024,"15,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp23,100,000",2021,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp23,300,000",2023,"30,000 km",Kota Depok,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp23,600,000",2023,"7,500 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp17,100,000",2019,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,100,000",2024,"2,500 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125ESP CBS ISS
"Rp21,500,000",2020,"7,500 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,600,000",2021,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp18,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp16,500,000",2016,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp19,900,000",2021,"30,000 km",Kab. Tangerang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,700,000",2023,"2,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp16,800,000",2018,"30,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp20,000,000",2019,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp19,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,500,000",2021,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp21,500,000",2023,"2,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp23,100,000",2022,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp16,200,000",2018,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp24,100,000",2024,"7,500 km",Kota Jakarta Barat,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp17,000,000",2017,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp17,500,000",2017,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp23,100,000",2023,"7,500 km",Kota Jakarta Timur,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp11,500,000",2015,"15,000 km",Kota Depok,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,800,000",2022,"15,000 km",Kab. Bandung,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,500,000",2021,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp21,700,000",2023,"2,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp20,800,000",2023,"7,500 km",Kota Bekasi,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,400,000",2022,"7,500 km",Kota Jakarta Timur,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp17,700,000",2019,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125ESP CBS ISS
"Rp21,400,000",2023,"15,000 km",Kab. Serang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,400,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA VARIO 125ESP CBS ISS
"Rp21,750,000",2023,"7,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,200,000",2023,"7,500 km",Kota Malang,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp21,800,000",2022,"7,500 km",Kab. Bandung,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,800,000",2022,"7,500 km",Kab. Bandung,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp15,500,000",2015,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp23,100,000",2022,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp19,100,000",2020,"30,000 km",Kab. Lebak,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,400,000",2023,"15,000 km",Kab. Lebak,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,000,000",2022,"15,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp25,200,000",2022,"15,000 km",Kota Denpasar,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp14,600,000",2017,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp13,300,000",2016,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp19,100,000",2020,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp14,600,000",2017,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp19,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,500,000",2021,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp21,700,000",2023,"2,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp18,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp20,800,000",2019,"15,000 km",Kota Cimahi,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp19,800,000",2019,"15,000 km",Kota Cimahi,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp20,900,000",2022,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125ESP CBS ISS
"Rp23,100,000",2022,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp21,500,000",2020,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp20,900,000",2022,"30,000 km",Kab. Tangerang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp19,900,000",2021,"30,000 km",Kab. Tangerang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp20,000,000",2019,"30,000 km",Kab. Tangerang,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp17,700,000",2019,"30,000 km",Kab. Tangerang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp22,100,000",2024,"7,500 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp20,800,000",2021,"15,000 km",Kota Depok,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,800,000",2022,"15,000 km",Kab. Bandung,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,500,000",2021,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp19,500,000",2019,"15,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp21,750,000",2023,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp18,800,000",2018,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp20,800,000",2019,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp21,400,000",2023,"7,500 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125ESP CBS ISS
"Rp13,300,000",2016,"30,000 km",Kota Depok,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp22,600,000",2021,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp21,500,000",2020,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp23,400,000",2023,"15,000 km",Kab. Tangerang,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp19,900,000",2021,"30,000 km",Kab. Tangerang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp17,000,000",2017,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp20,500,000",2022,"15,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,000,000",2023,"7,500 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,400,000",2022,"2,500 km",Kota Jakarta Timur,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,400,000",2022,"15,000 km",Kab. Serang,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp16,600,000",2018,"30,000 km",Kab. Serang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp19,900,000",2021,"30,000 km",Kab. Tangerang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp20,000,000",2019,"30,000 km",Kab. Tangerang,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp19,800,000",2018,"30,000 km",Kota Bandung,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp19,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp13,300,000",2016,"30,000 km",Kota Tangerang Selatan,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp20,300,000",2022,"7,500 km",Kota Bekasi,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp23,400,000",2023,"2,500 km",Kota Bekasi,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,800,000",2022,"15,000 km",Kota Denpasar,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,800,000",2022,"15,000 km",Kota Depok,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp23,800,000",2023,"15,000 km",Kota Denpasar,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp20,900,000",2022,"15,000 km",Kab. Serang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp13,300,000",2016,"30,000 km",Kota Depok,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp19,800,000",2019,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,900,000",2020,"30,000 km",Kota Malang,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp24,100,000",2024,"2,500 km",Kota Jakarta Barat,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp17,700,000",2019,"30,000 km",Kota Tangerang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp23,100,000",2021,"30,000 km",Kab. Tangerang,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp20,000,000",2019,"30,000 km",Kab. Tangerang,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp21,000,000",2022,"15,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp22,400,000",2022,"2,500 km",Kota Jakarta Timur,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp23,800,000",2023,"15,000 km",Kota Denpasar,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp20,900,000",2022,"30,000 km",Kab. Lebak,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp20,900,000",2022,"30,000 km",Kab. Lebak,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp19,800,000",2018,"30,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
